ts,ready,running,completed,failed,queue_lag_seconds,throughput_per_second,avg_wait_priority_100,avg_wait_priority_0
2026-05-07T22:43:56.205880,46382,2,1636,0,187.270,9,57.214,0.015
2026-05-07T22:43:57.235736,46677,2,1644,0,188.301,8,57.570,0.015
2026-05-07T22:43:58.251796,46979,2,1652,0,189.311,8,57.926,0.015
2026-05-07T22:43:59.267256,47273,2,1662,0,190.328,10,58.322,0.015
2026-05-07T22:44:00.287665,47571,2,1670,0,191.346,8,58.718,0.015
2026-05-07T22:44:01.317555,47870,2,1678,0,192.370,8,59.076,0.015
2026-05-07T22:44:02.336621,48169,2,1688,0,193.398,9,59.514,0.015
2026-05-07T22:44:03.352315,48464,2,1697,0,194.413,9,59.873,0.015
2026-05-07T22:44:04.370733,48762,2,1704,0,195.430,7,60.232,0.015
2026-05-07T22:44:05.387952,49061,2,1712,0,196.451,8,60.592,0.015
2026-05-07T22:44:06.403869,49355,2,1722,0,197.465,9,60.991,0.015
2026-05-07T22:44:07.419620,49648,2,1733,0,198.480,9,61.430,0.015
2026-05-07T22:44:08.445348,49944,2,1743,0,199.499,10,61.869,0.015
2026-05-07T22:44:09.481881,50245,2,1751,0,200.528,8,62.228,0.015
2026-05-07T22:44:10.505166,50546,2,1759,0,201.559,8,62.628,0.015
2026-05-07T22:44:11.522766,50844,2,1768,0,202.581,9,63.068,0.015
2026-05-07T22:44:12.545682,51141,2,1777,0,203.601,9,63.508,0.015
2026-05-07T22:44:13.684154,51426,2,1787,0,204.632,10,63.908,0.015
2026-05-07T22:44:14.742948,51770,2,1796,0,205.765,7,64.388,0.015
2026-05-07T22:44:15.791290,52077,2,1808,0,206.825,11,64.868,0.015
2026-05-07T22:44:16.837467,52385,2,1815,0,207.875,7,65.229,0.015
2026-05-07T22:44:17.859550,52687,2,1826,0,208.919,11,65.670,0.015
2026-05-07T22:44:18.921114,52984,2,1835,0,209.940,9,66.031,0.015
2026-05-07T22:44:19.945151,53292,2,1845,0,210.998,9,66.473,0.015
2026-05-07T22:44:20.970341,53584,2,1854,0,212.024,8,66.834,0.015
2026-05-07T22:44:21.990597,53888,2,1863,0,213.047,8,67.237,0.015
2026-05-07T22:44:23.015335,54185,2,1872,0,214.068,8,67.640,0.015
2026-05-07T22:44:24.032684,54486,2,1880,0,215.096,8,68.044,0.015
2026-05-07T22:44:25.051547,54780,2,1890,0,216.109,10,68.448,0.015
2026-05-07T22:44:26.078007,55077,2,1900,0,217.132,9,68.852,0.015
2026-05-07T22:44:27.101526,55376,2,1909,0,218.158,9,69.296,0.015
2026-05-07T22:44:28.121428,55673,2,1918,0,219.179,9,69.699,0.015
2026-05-07T22:44:29.138447,55970,2,1926,0,220.197,8,70.102,0.015
2026-05-07T22:44:30.165916,56270,2,1933,0,221.218,7,70.466,0.015
2026-05-07T22:44:31.184925,56566,2,1945,0,222.244,11,70.951,0.015
2026-05-07T22:44:32.203565,56861,2,1955,0,223.262,10,71.355,0.015
2026-05-07T22:44:33.225509,57162,2,1960,0,224.283,5,71.679,0.015
2026-05-07T22:44:34.240153,57463,2,1966,0,225.303,6,72.125,0.015
2026-05-07T22:44:35.258624,57757,2,1975,0,226.316,9,72.490,0.015
2026-05-07T22:44:36.279009,58056,2,1983,0,227.338,8,72.935,0.015
2026-05-07T22:44:37.296070,58352,2,1991,0,228.354,8,73.300,0.015
2026-05-07T22:44:38.319953,58651,2,1999,0,229.376,8,73.625,0.015
2026-05-07T22:44:39.342178,58951,2,2006,0,230.400,7,74.032,0.015
2026-05-07T22:44:40.360632,59249,2,2014,0,231.418,8,74.358,0.015
2026-05-07T22:44:41.379523,59546,2,2022,0,232.436,7,74.766,0.015
2026-05-07T22:44:42.396616,59844,2,2030,0,233.456,7,75.134,0.015
2026-05-07T22:44:43.423481,60142,2,2038,0,234.476,8,75.502,0.015
2026-05-07T22:44:44.445125,60443,2,2045,0,235.502,5,75.870,0.015
2026-05-07T22:44:45.465318,60741,2,2053,0,236.523,7,76.280,0.015
2026-05-07T22:44:46.488544,61038,2,2063,0,237.545,10,76.690,0.015
2026-05-07T22:44:47.508362,61334,2,2073,0,238.566,9,77.100,0.015
2026-05-07T22:44:48.529780,61632,2,2081,0,239.587,8,77.552,0.015
2026-05-07T22:44:49.553066,61928,2,2092,0,240.609,11,78.004,0.015
2026-05-07T22:44:50.575427,62226,2,2101,0,241.631,9,78.414,0.015
2026-05-07T22:44:51.598512,62526,2,2109,0,242.656,8,78.784,0.015
2026-05-07T22:44:52.620347,62821,2,2119,0,243.676,10,79.236,0.015
2026-05-07T22:44:53.640767,63118,2,2129,0,244.697,10,79.647,0.015
2026-05-07T22:44:54.672371,63417,2,2137,0,245.721,8,80.018,0.015
2026-05-07T22:44:55.696399,63717,2,2145,0,246.749,8,80.470,0.015
2026-05-07T22:44:56.710019,64016,2,2153,0,247.773,8,80.840,0.015
2026-05-07T22:44:57.729400,64312,2,2161,0,248.785,8,81.252,0.015
2026-05-07T22:44:58.749784,64610,2,2169,0,249.806,8,81.665,0.015
2026-05-07T22:44:59.771101,64906,2,2179,0,250.828,9,82.159,0.015
2026-05-07T22:45:00.799327,65203,2,2189,0,251.848,10,82.570,0.015
2026-05-07T22:45:01.822737,65503,2,2198,0,252.880,9,83.022,0.015
2026-05-07T22:45:02.839793,65799,2,2208,0,253.899,10,83.474,0.015
2026-05-07T22:45:03.862688,66094,2,2219,0,254.918,11,83.925,0.015
2026-05-07T22:45:04.888085,66390,2,2230,0,255.942,11,84.377,0.015
2026-05-07T22:45:05.909396,66688,2,2240,0,256.967,9,84.828,0.015
2026-05-07T22:45:06.975550,66986,2,2249,0,257.991,9,85.197,0.015
2026-05-07T22:45:08.004760,67296,2,2258,0,259.056,7,85.648,0.015
2026-05-07T22:45:09.027330,67598,2,2265,0,260.085,7,86.058,0.015
2026-05-07T22:45:10.057560,67897,2,2273,0,261.108,7,86.469,0.015
2026-05-07T22:45:11.087741,68196,2,2281,0,262.134,8,86.838,0.015
2026-05-07T22:45:12.110288,68495,2,2292,0,263.167,10,87.290,0.015
2026-05-07T22:45:13.135551,68787,2,2302,0,264.187,10,87.702,0.015
2026-05-07T22:45:14.156068,69089,2,2311,0,265.211,9,88.153,0.015
2026-05-07T22:45:15.190860,69388,2,2321,0,266.238,10,88.605,0.015
2026-05-07T22:45:16.211819,69686,2,2331,0,267.268,10,89.057,0.015
2026-05-07T22:45:17.233180,69984,2,2340,0,268.289,9,89.426,0.015
2026-05-07T22:45:18.253441,70282,2,2349,0,269.313,9,89.797,0.015
2026-05-07T22:45:19.281283,70581,2,2356,0,270.334,7,90.167,0.015
2026-05-07T22:45:20.303937,70881,2,2364,0,271.361,8,90.538,0.015
2026-05-07T22:45:21.326404,71179,2,2372,0,272.380,7,90.910,0.015
2026-05-07T22:45:22.349872,71478,2,2380,0,273.404,8,91.282,0.015
2026-05-07T22:45:23.375252,71777,2,2388,0,274.426,8,91.655,0.015
2026-05-07T22:45:24.567449,72019,2,2395,0,275.468,7,91.986,0.015
2026-05-07T22:45:25.595235,72425,2,2407,0,276.647,10,92.484,0.015
2026-05-07T22:45:26.616262,72722,2,2417,0,277.673,10,92.983,0.015
2026-05-07T22:45:27.645389,73021,2,2425,0,278.697,8,93.356,0.015
2026-05-07T22:45:28.675653,73319,2,2435,0,279.721,10,93.771,0.015
2026-05-07T22:45:29.724017,73597,2,2443,0,280.753,8,94.104,0.015
2026-05-07T22:45:30.763832,73925,2,2453,0,281.801,8,94.520,0.015
2026-05-07T22:45:31.810535,74229,2,2463,0,282.850,9,94.937,0.015
2026-05-07T22:45:32.831668,74534,2,2471,0,283.892,8,95.354,0.015
2026-05-07T22:45:33.851412,74830,2,2480,0,284.908,9,95.730,0.015
2026-05-07T22:45:34.875043,75128,2,2488,0,285.930,8,96.064,0.015
2026-05-07T22:45:35.893705,75423,2,2500,0,286.952,11,96.607,0.015
2026-05-07T22:45:36.913902,75720,2,2508,0,287.970,8,96.982,0.015
2026-05-07T22:45:37.935249,76017,2,2517,0,288.990,9,97.358,0.015
2026-05-07T22:45:38.962698,76317,2,2525,0,290.016,7,97.775,0.015
2026-05-07T22:45:39.986427,76618,2,2532,0,291.042,7,98.193,0.015
2026-05-07T22:45:41.011087,76914,2,2543,0,292.067,11,98.651,0.015
2026-05-07T22:45:42.033244,77209,2,2554,0,293.087,11,99.110,0.015
2026-05-07T22:45:43.054599,77508,2,2562,0,294.110,8,99.568,0.015
2026-05-07T22:45:44.072889,77806,2,2571,0,295.132,9,99.942,0.015
2026-05-07T22:45:45.104902,78103,2,2579,0,296.151,8,100.359,0.015
